code,name,current_stock,min_stock,base_price,wholesale_price,retail_price
PROD-0001,Aceite de Oliva 500ml,88,0,850,800,900
PROD-0002,Arroz Largo Fino 1kg,174,0,450,420,480
PROD-0003,Azúcar 1kg,149,0,380,350,400
PROD-0004,Café Molido 250g,77,0,1200,1100,1300
PROD-0005,Fideos Secos 500g,241,0,320,300,350
PROD-0006,Harina 0000 1kg,175,0,280,260,300
PROD-0007,Leche Entera 1L,120,0,520,480,550
PROD-0008,Yerba Mate 1kg,90,0,1800,1650,1900
PROD-0009,Sal Fina 1kg,300,0,180,160,200
PROD-0010,Tomate Triturado 500g,130,0,420,390,450
PROD-01,ACEITE 900CC LA FAVORITA,125,0,1850,2087.5,2350
PROD-02,CREMOSO FUENTELAC,947,0,3800,5750,5750
PROD-03,CREMA DE LECHE ALEF (PRECIO KG),569,0,3100,4700,4700
PROD-04,DULCE DE LECHE PUNILLA 10KG,981,0,14800,22400,22400
PROD-05,HARINA BRUNING 0000 25KG,963,0,11900,18000,18000
PROD-06,HARINA BRUNING 000 X 25KG,967,0,9800,14850,14850
PROD-07,RICOTTA MAGRA,974,0,2400,3650,3650
PROD-08,MOZZARELLA CREMAC,966,0,5240,7950,7950
PROD-09,MOZZARELLA CLEFF,1343,0,5400,8200,8200
PROD-10,PUFLITOS DANAL,964,0,3020,4600,4600
PROD-100,ANCHOAS EN SAL MARFOR,996,0,15300,23150,23150
PROD-101,ANCHOAS EN ACEITE MARFOR,987,0,15800,23900,23900
PROD-102,MAYONESA MENOYO 3KG,903,0,3850,5850,5850
PROD-102-2,MAYONESA MENOYO 3KG,903,0,3850,5850,5850
PROD-103,MOSTAZA MENOYO 3KG,1000,0,3950,6000,6000
PROD-104,DISCO ARABE NEIVA,550,0,500,760,760
PROD-105,DISCO HORNO-FREIR NEIVA,6981,0,370,560,560
PROD-106,TAPA PASCUALINA NEIVA,846,0,570,880,880
PROD-107,BONDIOLA PIAMONTESA,920,0,14560,22050,22050
PROD-109,JAMON COCIDO PIAMONTESA,787,0,7950.94,12050,12050
PROD-11,CASCARONES DANAL,833,0,3088,4700,4700
PROD-110,LOMO CON HIERBAS PIAMONTESA,988,0,10900,16500,16500
PROD-112,MILAN 808 PIAMONTESA,956,0,6200,9400,9400
PROD-116,MILAN LA PIAMONTESA,931,0,9475,14350,14350
PROD-117,PALETA 131 AZUL PIAMONTESA,690,0,3090,4700,4700
PROD-118,PALETA 131 VERDE PIAMONTESA,506,0,4693,7100,7100
PROD-12,CHIZITOS DANAL,471,0,3088,4700,4700
PROD-120,PANCETA ARROLLADA PIAMONTESA,983,0,11975,18150,18150
PROD-121,PERNIL LA PIAMONTESA,994,0,5640,8550,8550
PROD-123,SALAME POR METRO LA PIAMONTESA,936,0,9954.99,15100,15100
PROD-124,SALCHICHAS PANCHIN,2450,0,619.74,950,950
PROD-125,SALCHICHON CON VERDURAS PIAMONTESA,836,0,4436.71,6750,6750
PROD-128,CREMA PRIMER PREMIO 200CC,966,0,895,1360,1360
PROD-129,MANTECA PRIMER PREMIO 500GR,911,0,3950,6000,6000
PROD-13,CEREALES AZUCARADOS DANAL,971,0,5182,7850,7850
PROD-130,MANTECA PRIMER PREMIO 100GR,253,0,810,1250,1250
PROD-131,MANTECA PRIMER PREMIO 200GR,300,0,1600,2450,2450
PROD-132,QUESO UNTABLE PRIMER PREMIO,899,0,905,1380,1380
PROD-134,ACEITE BIDON 4.5L GIRASOL,145,0,8200,10250,10250
PROD-135,ACEITE COSTA DEL SOL 900CC,583,0,1600,2450,2450
PROD-136,ACEITUNA DESCAROZADA 3KG,967,0,8300,13100,13100
PROD-136-2,ACEITUNA DESCAROZADA 3KG,967,0,8300,13100,13100
PROD-137,ACEITUNA EN RODAJA 3KG,893,0,6800,10700,10700
PROD-137-2,ACEITUNA EN RODAJA 3KG,893,0,6800,10700,10700
PROD-138,ACEITUNA EN RODAJAS 5KG,991,0,18048,28400,28400
PROD-138-2,ACEITUNA EN RODAJAS 5KG,991,0,18048,28400,28400
PROD-139,ACEITUNA NEGRA 1KG N'00',985,0,6900,10900,10900
PROD-139-2,ACEITUNA NEGRA 1KG N'00',984,0,6900,10900,10900
PROD-14,DULCITAS DANAL,995,0,3032,4600,4600
PROD-140,ACEITUNA NEGRA X5KG N'0',998,0,27950,44000,44000
